Feedback,Category,Status
Team names are still too long on the ladder on mobile,Frontend,Resolved
Not immediately obvious that you can use the points header to sort the ladder,Frontend,Unresolved
Points header doesn't show which item is selected,Frontend,Resolved
Better to have teams/game data stored client-side in localStorage,Architecture,Future
Only hit the API if there is a live game ongoing,Backend,Future
Invalid query params shouldn't return a 404. Check what the correct response code is,Backend,Unresolved
Display a UI in place of the ladder when game data is being loaded (rather than the ladder squishing to 0px height),Frontend,Resolved
"Error handling can be done in express with a global error route. Always return a reason for the error, even if you only expect yourself to be interacting with that endpoint",Backend,Unresolved
Historical parameter should have a strict default of off and then a keyword for turning it on (enabled),Backend,Unresolved
Refactor Cache.js to a class,Backend,Unresolved
"If it is clear that only 2 specific instances of the Cache class should exist in the program, you can use a singleton with 2 instances",Backend,Unresolved
"Services folder doesn't fully align with what ""services"" means in web development. Research a better way to structure this folder.",Backend,Unresolved
"Separate out package.json. One for the frontend, one for the backend. (This could be what's causing the import issues on the frontend javascript)",Architecture,Unresolved
Add null checks for scraper script,Scraper,Unresolved
Cap CurrentRound() to 27,Backend,Resolved
Add favicon,Frontend,Resolved
